Region;Period;Cause_death;Sex;Age.Group;Obitos_1;Obitos_2;Pop1;Pop2
Central-West;2019/2020;All_causes;Female;0;1261;1153;118803;115216
Central-West;2019/2020;All_other_causes;Female;0;1078;971;118803;115216
Central-West;2019/2020;Circulatory;Female;0;14;11;118803;115216
Central-West;2019/2020;Covid;Female;0;0;6;118803;115216
Central-West;2019/2020;External_causes;Female;0;34;44;118803;115216
Central-West;2019/2020;Infec_parasit;Female;0;55;38;118803;115216
Central-West;2019/2020;Neoplasms;Female;0;1;6;118803;115216
Central-West;2019/2020;Pregnancy;Female;0;0;0;118803;115216
Central-West;2019/2020;Respiratory;Female;0;62;31;118803;115216
Central-West;2019/2020;Undefined;Female;0;17;46;118803;115216
Central-West;2019/2020;All_causes;Female;1;258;204;477974;476340
Central-West;2019/2020;All_other_causes;Female;1;100;68;477974;476340
Central-West;2019/2020;Circulatory;Female;1;9;10;477974;476340
Central-West;2019/2020;Covid;Female;1;0;8;477974;476340
Central-West;2019/2020;External_causes;Female;1;59;61;477974;476340
Central-West;2019/2020;Infec_parasit;Female;1;14;19;477974;476340
Central-West;2019/2020;Neoplasms;Female;1;16;20;477974;476340
Central-West;2019/2020;Pregnancy;Female;1;0;0;477974;476340
Central-West;2019/2020;Respiratory;Female;1;52;14;477974;476340
Central-West;2019/2020;Undefined;Female;1;8;4;477974;476340
Central-West;2019/2020;All_causes;Female;10;139;121;581337;576753
Central-West;2019/2020;All_other_causes;Female;10;35;38;581337;576753
Central-West;2019/2020;Circulatory;Female;10;7;9;581337;576753
Central-West;2019/2020;Covid;Female;10;0;3;581337;576753
Central-West;2019/2020;External_causes;Female;10;49;40;581337;576753
Central-West;2019/2020;Infec_parasit;Female;10;2;4;581337;576753
Central-West;2019/2020;Neoplasms;Female;10;23;16;581337;576753
Central-West;2019/2020;Pregnancy;Female;10;1;1;581337;576753
Central-West;2019/2020;Respiratory;Female;10;13;5;581337;576753
Central-West;2019/2020;Undefined;Female;10;9;5;581337;576753
Central-West;2019/2020;All_causes;Female;15;267;284;626251;620241
Central-West;2019/2020;All_other_causes;Female;15;68;60;626251;620241
Central-West;2019/2020;Circulatory;Female;15;10;16;626251;620241
Central-West;2019/2020;Covid;Female;15;0;14;626251;620241
Central-West;2019/2020;External_causes;Female;15;111;118;626251;620241
Central-West;2019/2020;Infec_parasit;Female;15;8;9;626251;620241
Central-West;2019/2020;Neoplasms;Female;15;24;27;626251;620241
Central-West;2019/2020;Pregnancy;Female;15;18;8;626251;620241
Central-West;2019/2020;Respiratory;Female;15;17;16;626251;620241
Central-West;2019/2020;Undefined;Female;15;11;16;626251;620241
Central-West;2019/2020;All_causes;Female;20;362;397;665716;665049
Central-West;2019/2020;All_other_causes;Female;20;64;83;665716;665049
Central-West;2019/2020;Circulatory;Female;20;24;23;665716;665049
Central-West;2019/2020;Covid;Female;20;0;27;665716;665049
Central-West;2019/2020;External_causes;Female;20;167;174;665716;665049
Central-West;2019/2020;Infec_parasit;Female;20;17;22;665716;665049
Central-West;2019/2020;Neoplasms;Female;20;28;20;665716;665049
Central-West;2019/2020;Pregnancy;Female;20;27;26;665716;665049
Central-West;2019/2020;Respiratory;Female;20;15;11;665716;665049
Central-West;2019/2020;Undefined;Female;20;20;11;665716;665049
Central-West;2019/2020;All_causes;Female;25;422;457;666941;670994
Central-West;2019/2020;All_other_causes;Female;25;67;76;666941;670994
Central-West;2019/2020;Circulatory;Female;25;34;36;666941;670994
Central-West;2019/2020;Covid;Female;25;0;35;666941;670994
Central-West;2019/2020;External_causes;Female;25;144;166;666941;670994
Central-West;2019/2020;Infec_parasit;Female;25;28;16;666941;670994
Central-West;2019/2020;Neoplasms;Female;25;78;57;666941;670994
Central-West;2019/2020;Pregnancy;Female;25;29;40;666941;670994
Central-West;2019/2020;Respiratory;Female;25;25;16;666941;670994
Central-West;2019/2020;Undefined;Female;25;17;15;666941;670994
Central-West;2019/2020;All_causes;Female;30;576;635;679419;675698
Central-West;2019/2020;All_other_causes;Female;30;112;108;679419;675698
Central-West;2019/2020;Circulatory;Female;30;58;72;679419;675698
Central-West;2019/2020;Covid;Female;30;0;76;679419;675698
Central-West;2019/2020;External_causes;Female;30;138;144;679419;675698
Central-West;2019/2020;Infec_parasit;Female;30;43;25;679419;675698
Central-West;2019/2020;Neoplasms;Female;30;133;124;679419;675698
Central-West;2019/2020;Pregnancy;Female;30;43;43;679419;675698
Central-West;2019/2020;Respiratory;Female;30;29;20;679419;675698
Central-West;2019/2020;Undefined;Female;30;20;23;679419;675698
Central-West;2019/2020;All_causes;Female;35;813;988;690810;693343
Central-West;2019/2020;All_other_causes;Female;35;157;173;690810;693343
Central-West;2019/2020;Circulatory;Female;35;135;149;690810;693343
Central-West;2019/2020;Covid;Female;35;0;139;690810;693343
Central-West;2019/2020;External_causes;Female;35;156;149;690810;693343
Central-West;2019/2020;Infec_parasit;Female;35;55;56;690810;693343
Central-West;2019/2020;Neoplasms;Female;35;233;218;690810;693343
Central-West;2019/2020;Pregnancy;Female;35;20;40;690810;693343
Central-West;2019/2020;Respiratory;Female;35;34;29;690810;693343
Central-West;2019/2020;Undefined;Female;35;23;35;690810;693343
Central-West;2019/2020;All_causes;Female;40;1008;1309;631501;650776
Central-West;2019/2020;All_other_causes;Female;40;192;218;631501;650776
Central-West;2019/2020;Circulatory;Female;40;199;229;631501;650776
Central-West;2019/2020;Covid;Female;40;0;209;631501;650776
Central-West;2019/2020;External_causes;Female;40;147;143;631501;650776
Central-West;2019/2020;Infec_parasit;Female;40;72;69;631501;650776
Central-West;2019/2020;Neoplasms;Female;40;311;327;631501;650776
Central-West;2019/2020;Pregnancy;Female;40;8;23;631501;650776
Central-West;2019/2020;Respiratory;Female;40;54;52;631501;650776
Central-West;2019/2020;Undefined;Female;40;25;39;631501;650776
Central-West;2019/2020;All_causes;Female;45;1365;1586;550553;563798
Central-West;2019/2020;All_other_causes;Female;45;260;300;550553;563798
Central-West;2019/2020;Circulatory;Female;45;366;282;550553;563798
Central-West;2019/2020;Covid;Female;45;0;296;550553;563798
Central-West;2019/2020;External_causes;Female;45;124;127;550553;563798
Central-West;2019/2020;Infec_parasit;Female;45;69;67;550553;563798
Central-West;2019/2020;Neoplasms;Female;45;409;393;550553;563798
Central-West;2019/2020;Pregnancy;Female;45;2;1;550553;563798
Central-West;2019/2020;Respiratory;Female;45;81;70;550553;563798
Central-West;2019/2020;Undefined;Female;45;54;50;550553;563798
Central-West;2019/2020;All_causes;Female;5;96;60;574565;585978
Central-West;2019/2020;All_other_causes;Female;5;32;19;574565;585978
Central-West;2019/2020;Circulatory;Female;5;2;3;574565;585978
Central-West;2019/2020;Covid;Female;5;0;2;574565;585978
Central-West;2019/2020;External_causes;Female;5;23;14;574565;585978
Central-West;2019/2020;Infec_parasit;Female;5;5;3;574565;585978
Central-West;2019/2020;Neoplasms;Female;5;20;14;574565;585978
Central-West;2019/2020;Pregnancy;Female;5;0;0;574565;585978
Central-West;2019/2020;Respiratory;Female;5;9;5;574565;585978
Central-West;2019/2020;Undefined;Female;5;5;0;574565;585978
Central-West;2019/2020;All_causes;Female;50;1791;2139;490124;500190
Central-West;2019/2020;All_other_causes;Female;50;355;358;490124;500190
Central-West;2019/2020;Circulatory;Female;50;464;455;490124;500190
Central-West;2019/2020;Covid;Female;50;1;392;490124;500190
Central-West;2019/2020;External_causes;Female;50;105;131;490124;500190
Central-West;2019/2020;Infec_parasit;Female;50;76;84;490124;500190
Central-West;2019/2020;Neoplasms;Female;50;597;562;490124;500190
Central-West;2019/2020;Pregnancy;Female;50;0;1;490124;500190
Central-West;2019/2020;Respiratory;Female;50;148;99;490124;500190
Central-West;2019/2020;Undefined;Female;50;45;57;490124;500190
Central-West;2019/2020;All_causes;Female;55;2241;2814;419314;433419
Central-West;2019/2020;All_other_causes;Female;55;507;492;419314;433419
Central-West;2019/2020;Circulatory;Female;55;538;611;419314;433419
Central-West;2019/2020;Covid;Female;55;1;523;419314;433419
Central-West;2019/2020;External_causes;Female;55;97;110;419314;433419
Central-West;2019/2020;Infec_parasit;Female;55;116;93;419314;433419
Central-West;2019/2020;Neoplasms;Female;55;735;764;419314;433419
Central-West;2019/2020;Pregnancy;Female;55;0;0;419314;433419
Central-West;2019/2020;Respiratory;Female;55;193;166;419314;433419
Central-West;2019/2020;Undefined;Female;55;54;55;419314;433419
Central-West;2019/2020;All_causes;Female;60;2816;3516;332364;346813
Central-West;2019/2020;All_other_causes;Female;60;588;640;332364;346813
Central-West;2019/2020;Circulatory;Female;60;828;858;332364;346813
Central-West;2019/2020;Covid;Female;60;0;723;332364;346813
Central-West;2019/2020;External_causes;Female;60;88;59;332364;346813
Central-West;2019/2020;Infec_parasit;Female;60;113;100;332364;346813
Central-West;2019/2020;Neoplasms;Female;60;854;834;332364;346813
Central-West;2019/2020;Pregnancy;Female;60;0;0;332364;346813
Central-West;2019/2020;Respiratory;Female;60;284;244;332364;346813
Central-West;2019/2020;Undefined;Female;60;61;58;332364;346813
Central-West;2019/2020;All_causes;Female;65;3310;4269;249152;261896
Central-West;2019/2020;All_other_causes;Female;65;767;793;249152;261896
Central-West;2019/2020;Circulatory;Female;65;1040;1093;249152;261896
Central-West;2019/2020;Covid;Female;65;0;867;249152;261896
Central-West;2019/2020;External_causes;Female;65;96;64;249152;261896
Central-West;2019/2020;Infec_parasit;Female;65;147;142;249152;261896
Central-West;2019/2020;Neoplasms;Female;65;820;896;249152;261896
Central-West;2019/2020;Pregnancy;Female;65;0;0;249152;261896
Central-West;2019/2020;Respiratory;Female;65;369;347;249152;261896
Central-West;2019/2020;Undefined;Female;65;71;67;249152;261896
Central-West;2019/2020;All_causes;Female;70;3823;4738;175849;185706
Central-West;2019/2020;All_other_causes;Female;70;851;846;175849;185706
Central-West;2019/2020;Circulatory;Female;70;1196;1281;175849;185706
Central-West;2019/2020;Covid;Female;70;0;952;175849;185706
Central-West;2019/2020;External_causes;Female;70;105;112;175849;185706
Central-West;2019/2020;Infec_parasit;Female;70;180;151;175849;185706
Central-West;2019/2020;Neoplasms;Female;70;846;862;175849;185706
Central-West;2019/2020;Pregnancy;Female;70;0;0;175849;185706
Central-West;2019/2020;Respiratory;Female;70;567;464;175849;185706
Central-West;2019/2020;Undefined;Female;70;78;70;175849;185706
Central-West;2019/2020;All_causes;Female;75;4265;4936;120404;125742
Central-West;2019/2020;All_other_causes;Female;75;993;951;120404;125742
Central-West;2019/2020;Circulatory;Female;75;1368;1330;120404;125742
Central-West;2019/2020;Covid;Female;75;1;877;120404;125742
Central-West;2019/2020;External_causes;Female;75;157;146;120404;125742
Central-West;2019/2020;Infec_parasit;Female;75;185;214;120404;125742
Central-West;2019/2020;Neoplasms;Female;75;806;753;120404;125742
Central-West;2019/2020;Pregnancy;Female;75;0;0;120404;125742
Central-West;2019/2020;Respiratory;Female;75;674;568;120404;125742
Central-West;2019/2020;Undefined;Female;75;81;97;120404;125742
Central-West;2019/2020;All_causes;Female;80;4414;5331;77623;81277
Central-West;2019/2020;All_other_causes;Female;80;1144;1153;77623;81277
Central-West;2019/2020;Circulatory;Female;80;1463;1558;77623;81277
Central-West;2019/2020;Covid;Female;80;0;859;77623;81277
Central-West;2019/2020;External_causes;Female;80;184;163;77623;81277
Central-West;2019/2020;Infec_parasit;Female;80;181;174;77623;81277
Central-West;2019/2020;Neoplasms;Female;80;600;617;77623;81277
Central-West;2019/2020;Pregnancy;Female;80;0;0;77623;81277
Central-West;2019/2020;Respiratory;Female;80;763;689;77623;81277
Central-West;2019/2020;Undefined;Female;80;79;118;77623;81277
Central-West;2019/2020;All_causes;Female;85;7782;8727;38406;40502
Central-West;2019/2020;All_other_causes;Female;85;2119;2189;38406;40502
Central-West;2019/2020;Circulatory;Female;85;2483;2528;38406;40502
Central-West;2019/2020;Covid;Female;85;0;1134;38406;40502
Central-West;2019/2020;External_causes;Female;85;367;323;38406;40502
Central-West;2019/2020;Infec_parasit;Female;85;285;278;38406;40502
Central-West;2019/2020;Neoplasms;Female;85;648;648;38406;40502
Central-West;2019/2020;Pregnancy;Female;85;0;0;38406;40502
Central-West;2019/2020;Respiratory;Female;85;1630;1316;38406;40502
Central-West;2019/2020;Undefined;Female;85;250;311;38406;40502
Central-West;2019/2020;All_causes;Male;0;1583;1412;124463;120701
Central-West;2019/2020;All_other_causes;Male;0;1363;1211;124463;120701
Central-West;2019/2020;Circulatory;Male;0;14;10;124463;120701
Central-West;2019/2020;Covid;Male;0;1;9;124463;120701
Central-West;2019/2020;External_causes;Male;0;40;46;124463;120701
Central-West;2019/2020;Infec_parasit;Male;0;58;43;124463;120701
Central-West;2019/2020;Neoplasms;Male;0;5;4;124463;120701
Central-West;2019/2020;Pregnancy;Male;0;0;0;124463;120701
Central-West;2019/2020;Respiratory;Male;0;61;43;124463;120701
Central-West;2019/2020;Undefined;Male;0;41;46;124463;120701
Central-West;2019/2020;All_causes;Male;1;303;249;499806;497815
Central-West;2019/2020;All_other_causes;Male;1;103;82;499806;497815
Central-West;2019/2020;Circulatory;Male;1;5;8;499806;497815
Central-West;2019/2020;Covid;Male;1;0;5;499806;497815
Central-West;2019/2020;External_causes;Male;1;77;97;499806;497815
Central-West;2019/2020;Infec_parasit;Male;1;32;14;499806;497815
Central-West;2019/2020;Neoplasms;Male;1;32;19;499806;497815
Central-West;2019/2020;Pregnancy;Male;1;0;0;499806;497815
Central-West;2019/2020;Respiratory;Male;1;44;15;499806;497815
Central-West;2019/2020;Undefined;Male;1;10;9;499806;497815
Central-West;2019/2020;All_causes;Male;10;209;207;607871;602946
Central-West;2019/2020;All_other_causes;Male;10;53;50;607871;602946
Central-West;2019/2020;Circulatory;Male;10;10;6;607871;602946
Central-West;2019/2020;Covid;Male;10;0;1;607871;602946
Central-West;2019/2020;External_causes;Male;10;98;102;607871;602946
Central-West;2019/2020;Infec_parasit;Male;10;9;5;607871;602946
Central-West;2019/2020;Neoplasms;Male;10;18;26;607871;602946
Central-West;2019/2020;Pregnancy;Male;10;0;0;607871;602946
Central-West;2019/2020;Respiratory;Male;10;15;8;607871;602946
Central-West;2019/2020;Undefined;Male;10;6;9;607871;602946
Central-West;2019/2020;All_causes;Male;15;1020;1022;647735;643254
Central-West;2019/2020;All_other_causes;Male;15;63;69;647735;643254
Central-West;2019/2020;Circulatory;Male;15;9;29;647735;643254
Central-West;2019/2020;Covid;Male;15;0;12;647735;643254
Central-West;2019/2020;External_causes;Male;15;865;830;647735;643254
Central-West;2019/2020;Infec_parasit;Male;15;21;15;647735;643254
Central-West;2019/2020;Neoplasms;Male;15;34;34;647735;643254
Central-West;2019/2020;Pregnancy;Male;15;0;0;647735;643254
Central-West;2019/2020;Respiratory;Male;15;19;12;647735;643254
Central-West;2019/2020;Undefined;Male;15;9;21;647735;643254
Central-West;2019/2020;All_causes;Male;20;1559;1702;676665;678592
Central-West;2019/2020;All_other_causes;Male;20;99;106;676665;678592
Central-West;2019/2020;Circulatory;Male;20;30;47;676665;678592
Central-West;2019/2020;Covid;Male;20;0;27;676665;678592
Central-West;2019/2020;External_causes;Male;20;1284;1393;676665;678592
Central-West;2019/2020;Infec_parasit;Male;20;43;38;676665;678592
Central-West;2019/2020;Neoplasms;Male;20;49;43;676665;678592
Central-West;2019/2020;Pregnancy;Male;20;0;0;676665;678592
Central-West;2019/2020;Respiratory;Male;20;23;18;676665;678592
Central-West;2019/2020;Undefined;Male;20;31;30;676665;678592
Central-West;2019/2020;All_causes;Male;25;1529;1653;668891;673505
Central-West;2019/2020;All_other_causes;Male;25;130;125;668891;673505
Central-West;2019/2020;Circulatory;Male;25;61;69;668891;673505
Central-West;2019/2020;Covid;Male;25;0;53;668891;673505
Central-West;2019/2020;External_causes;Male;25;1127;1185;668891;673505
Central-West;2019/2020;Infec_parasit;Male;25;87;75;668891;673505
Central-West;2019/2020;Neoplasms;Male;25;55;65;668891;673505
Central-West;2019/2020;Pregnancy;Male;25;0;0;668891;673505
Central-West;2019/2020;Respiratory;Male;25;28;31;668891;673505
Central-West;2019/2020;Undefined;Male;25;41;50;668891;673505
Central-West;2019/2020;All_causes;Male;30;1535;1781;672090;670597
Central-West;2019/2020;All_other_causes;Male;30;199;207;672090;670597
Central-West;2019/2020;Circulatory;Male;30;109;111;672090;670597
Central-West;2019/2020;Covid;Male;30;0;134;672090;670597
Central-West;2019/2020;External_causes;Male;30;990;1033;672090;670597
Central-West;2019/2020;Infec_parasit;Male;30;85;97;672090;670597
Central-West;2019/2020;Neoplasms;Male;30;71;83;672090;670597
Central-West;2019/2020;Pregnancy;Male;30;0;0;672090;670597
Central-West;2019/2020;Respiratory;Male;30;31;52;672090;670597
Central-West;2019/2020;Undefined;Male;30;50;64;672090;670597
Central-West;2019/2020;All_causes;Male;35;1861;2079;666628;671711
Central-West;2019/2020;All_other_causes;Male;35;300;324;666628;671711
Central-West;2019/2020;Circulatory;Male;35;187;204;666628;671711
Central-West;2019/2020;Covid;Male;35;0;207;666628;671711
Central-West;2019/2020;External_causes;Male;35;958;966;666628;671711
Central-West;2019/2020;Infec_parasit;Male;35;124;103;666628;671711
Central-West;2019/2020;Neoplasms;Male;35;142;123;666628;671711
Central-West;2019/2020;Pregnancy;Male;35;0;0;666628;671711
Central-West;2019/2020;Respiratory;Male;35;63;55;666628;671711
Central-West;2019/2020;Undefined;Male;35;87;97;666628;671711
Central-West;2019/2020;All_causes;Male;40;2140;2616;600017;617976
Central-West;2019/2020;All_other_causes;Male;40;457;484;600017;617976
Central-West;2019/2020;Circulatory;Male;40;360;358;600017;617976
Central-West;2019/2020;Covid;Male;40;1;380;600017;617976
Central-West;2019/2020;External_causes;Male;40;767;866;600017;617976
Central-West;2019/2020;Infec_parasit;Male;40;138;123;600017;617976
Central-West;2019/2020;Neoplasms;Male;40;207;192;600017;617976
Central-West;2019/2020;Pregnancy;Male;40;0;0;600017;617976
Central-West;2019/2020;Respiratory;Male;40;92;93;600017;617976
Central-West;2019/2020;Undefined;Male;40;118;120;600017;617976
Central-West;2019/2020;All_causes;Male;45;2459;3114;522330;533580
Central-West;2019/2020;All_other_causes;Male;45;573;665;522330;533580
Central-West;2019/2020;Circulatory;Male;45;513;570;522330;533580
Central-West;2019/2020;Covid;Male;45;0;466;522330;533580
Central-West;2019/2020;External_causes;Male;45;652;711;522330;533580
Central-West;2019/2020;Infec_parasit;Male;45;154;132;522330;533580
Central-West;2019/2020;Neoplasms;Male;45;326;327;522330;533580
Central-West;2019/2020;Pregnancy;Male;45;0;0;522330;533580
Central-West;2019/2020;Respiratory;Male;45;124;126;522330;533580
Central-West;2019/2020;Undefined;Male;45;117;117;522330;533580
Central-West;2019/2020;All_causes;Male;5;113;130;600756;612239
Central-West;2019/2020;All_other_causes;Male;5;39;30;600756;612239
Central-West;2019/2020;Circulatory;Male;5;3;2;600756;612239
Central-West;2019/2020;Covid;Male;5;0;4;600756;612239
Central-West;2019/2020;External_causes;Male;5;27;51;600756;612239
Central-West;2019/2020;Infec_parasit;Male;5;7;7;600756;612239
Central-West;2019/2020;Neoplasms;Male;5;26;25;600756;612239
Central-West;2019/2020;Pregnancy;Male;5;0;0;600756;612239
Central-West;2019/2020;Respiratory;Male;5;9;9;600756;612239
Central-West;2019/2020;Undefined;Male;5;2;2;600756;612239
Central-West;2019/2020;All_causes;Male;50;3162;3906;460072;470008
Central-West;2019/2020;All_other_causes;Male;50;713;789;460072;470008
Central-West;2019/2020;Circulatory;Male;50;820;787;460072;470008
Central-West;2019/2020;Covid;Male;50;0;654;460072;470008
Central-West;2019/2020;External_causes;Male;50;576;658;460072;470008
Central-West;2019/2020;Infec_parasit;Male;50;159;162;460072;470008
Central-West;2019/2020;Neoplasms;Male;50;565;517;460072;470008
Central-West;2019/2020;Pregnancy;Male;50;0;0;460072;470008
Central-West;2019/2020;Respiratory;Male;50;198;174;460072;470008
Central-West;2019/2020;Undefined;Male;50;131;165;460072;470008
Central-West;2019/2020;All_causes;Male;55;3814;4806;385164;397551
Central-West;2019/2020;All_other_causes;Male;55;819;907;385164;397551
Central-West;2019/2020;Circulatory;Male;55;1029;1074;385164;397551
Central-West;2019/2020;Covid;Male;55;0;887;385164;397551
Central-West;2019/2020;External_causes;Male;55;489;524;385164;397551
Central-West;2019/2020;Infec_parasit;Male;55;177;183;385164;397551
Central-West;2019/2020;Neoplasms;Male;55;863;785;385164;397551
Central-West;2019/2020;Pregnancy;Male;55;0;0;385164;397551
Central-West;2019/2020;Respiratory;Male;55;285;270;385164;397551
Central-West;2019/2020;Undefined;Male;55;152;176;385164;397551
Central-West;2019/2020;All_causes;Male;60;4463;5747;301554;313013
Central-West;2019/2020;All_other_causes;Male;60;908;934;301554;313013
Central-West;2019/2020;Circulatory;Male;60;1441;1441;301554;313013
Central-West;2019/2020;Covid;Male;60;0;1188;301554;313013
Central-West;2019/2020;External_causes;Male;60;378;440;301554;313013
Central-West;2019/2020;Infec_parasit;Male;60;194;182;301554;313013
Central-West;2019/2020;Neoplasms;Male;60;1016;990;301554;313013
Central-West;2019/2020;Pregnancy;Male;60;0;0;301554;313013
Central-West;2019/2020;Respiratory;Male;60;399;382;301554;313013
Central-West;2019/2020;Undefined;Male;60;127;190;301554;313013
Central-West;2019/2020;All_causes;Male;65;4913;6352;222549;232129
Central-West;2019/2020;All_other_causes;Male;65;1031;1054;222549;232129
Central-West;2019/2020;Circulatory;Male;65;1578;1622;222549;232129
Central-West;2019/2020;Covid;Male;65;0;1297;222549;232129
Central-West;2019/2020;External_causes;Male;65;310;352;222549;232129
Central-West;2019/2020;Infec_parasit;Male;65;196;219;222549;232129
Central-West;2019/2020;Neoplasms;Male;65;1120;1177;222549;232129
Central-West;2019/2020;Pregnancy;Male;65;0;0;222549;232129
Central-West;2019/2020;Respiratory;Male;65;539;452;222549;232129
Central-West;2019/2020;Undefined;Male;65;139;179;222549;232129
Central-West;2019/2020;All_causes;Male;70;4993;6572;154594;161497
Central-West;2019/2020;All_other_causes;Male;70;954;1084;154594;161497
Central-West;2019/2020;Circulatory;Male;70;1699;1780;154594;161497
Central-West;2019/2020;Covid;Male;70;0;1343;154594;161497
Central-West;2019/2020;External_causes;Male;70;248;281;154594;161497
Central-West;2019/2020;Infec_parasit;Male;70;203;202;154594;161497
Central-West;2019/2020;Neoplasms;Male;70;1120;1075;154594;161497
Central-West;2019/2020;Pregnancy;Male;70;0;0;154594;161497
Central-West;2019/2020;Respiratory;Male;70;632;623;154594;161497
Central-West;2019/2020;Undefined;Male;70;137;184;154594;161497
Central-West;2019/2020;All_causes;Male;75;5088;6280;102336;105815
Central-West;2019/2020;All_other_causes;Male;75;1079;1053;102336;105815
Central-West;2019/2020;Circulatory;Male;75;1666;1681;102336;105815
Central-West;2019/2020;Covid;Male;75;0;1255;102336;105815
Central-West;2019/2020;External_causes;Male;75;222;213;102336;105815
Central-West;2019/2020;Infec_parasit;Male;75;192;215;102336;105815
Central-West;2019/2020;Neoplasms;Male;75;984;1023;102336;105815
Central-West;2019/2020;Pregnancy;Male;75;0;0;102336;105815
Central-West;2019/2020;Respiratory;Male;75;797;701;102336;105815
Central-West;2019/2020;Undefined;Male;75;148;139;102336;105815
Central-West;2019/2020;All_causes;Male;80;4831;6076;62842;65238
Central-West;2019/2020;All_other_causes;Male;80;1018;1128;62842;65238
Central-West;2019/2020;Circulatory;Male;80;1529;1628;62842;65238
Central-West;2019/2020;Covid;Male;80;0;1095;62842;65238
Central-West;2019/2020;External_causes;Male;80;199;200;62842;65238
Central-West;2019/2020;Infec_parasit;Male;80;193;193;62842;65238
Central-West;2019/2020;Neoplasms;Male;80;886;902;62842;65238
Central-West;2019/2020;Pregnancy;Male;80;0;0;62842;65238
Central-West;2019/2020;Respiratory;Male;80;883;776;62842;65238
Central-West;2019/2020;Undefined;Male;80;123;154;62842;65238
Central-West;2019/2020;All_causes;Male;85;6261;7517;28056;29271
Central-West;2019/2020;All_other_causes;Male;85;1502;1479;28056;29271
Central-West;2019/2020;Circulatory;Male;85;1892;1996;28056;29271
Central-West;2019/2020;Covid;Male;85;0;1207;28056;29271
Central-West;2019/2020;External_causes;Male;85;264;300;28056;29271
Central-West;2019/2020;Infec_parasit;Male;85;219;181;28056;29271
Central-West;2019/2020;Neoplasms;Male;85;811;798;28056;29271
Central-West;2019/2020;Pregnancy;Male;85;0;0;28056;29271
Central-West;2019/2020;Respiratory;Male;85;1354;1278;28056;29271
Central-West;2019/2020;Undefined;Male;85;219;278;28056;29271
Central-West;2019/2021;All_causes;Female;0;1261;1170;118803;112084
Central-West;2019/2021;All_other_causes;Female;0;1078;1004;118803;112084
Central-West;2019/2021;Circulatory;Female;0;14;9;118803;112084
Central-West;2019/2021;Covid;Female;0;0;10;118803;112084
Central-West;2019/2021;External_causes;Female;0;34;40;118803;112084
Central-West;2019/2021;Infec_parasit;Female;0;55;39;118803;112084
Central-West;2019/2021;Neoplasms;Female;0;1;4;118803;112084
Central-West;2019/2021;Pregnancy;Female;0;0;0;118803;112084
Central-West;2019/2021;Respiratory;Female;0;62;39;118803;112084
Central-West;2019/2021;Undefined;Female;0;17;25;118803;112084
Central-West;2019/2021;All_causes;Female;1;258;261;477974;473713
Central-West;2019/2021;All_other_causes;Female;1;100;101;477974;473713
Central-West;2019/2021;Circulatory;Female;1;9;8;477974;473713
Central-West;2019/2021;Covid;Female;1;0;12;477974;473713
Central-West;2019/2021;External_causes;Female;1;59;68;477974;473713
Central-West;2019/2021;Infec_parasit;Female;1;14;15;477974;473713
Central-West;2019/2021;Neoplasms;Female;1;16;25;477974;473713
Central-West;2019/2021;Pregnancy;Female;1;0;0;477974;473713
Central-West;2019/2021;Respiratory;Female;1;52;22;477974;473713
Central-West;2019/2021;Undefined;Female;1;8;10;477974;473713
Central-West;2019/2021;All_causes;Female;10;139;133;581337;572556
Central-West;2019/2021;All_other_causes;Female;10;35;31;581337;572556
Central-West;2019/2021;Circulatory;Female;10;7;7;581337;572556
Central-West;2019/2021;Covid;Female;10;0;5;581337;572556
Central-West;2019/2021;External_causes;Female;10;49;45;581337;572556
Central-West;2019/2021;Infec_parasit;Female;10;2;6;581337;572556
Central-West;2019/2021;Neoplasms;Female;10;23;26;581337;572556
Central-West;2019/2021;Pregnancy;Female;10;1;1;581337;572556
Central-West;2019/2021;Respiratory;Female;10;13;10;581337;572556
Central-West;2019/2021;Undefined;Female;10;9;2;581337;572556
Central-West;2019/2021;All_causes;Female;15;267;286;626251;617039
Central-West;2019/2021;All_other_causes;Female;15;68;43;626251;617039
Central-West;2019/2021;Circulatory;Female;15;10;17;626251;617039
Central-West;2019/2021;Covid;Female;15;0;24;626251;617039
Central-West;2019/2021;External_causes;Female;15;111;123;626251;617039
Central-West;2019/2021;Infec_parasit;Female;15;8;9;626251;617039
Central-West;2019/2021;Neoplasms;Female;15;24;26;626251;617039
Central-West;2019/2021;Pregnancy;Female;15;18;23;626251;617039
Central-West;2019/2021;Respiratory;Female;15;17;11;626251;617039
Central-West;2019/2021;Undefined;Female;15;11;10;626251;617039
Central-West;2019/2021;All_causes;Female;20;362;417;665716;663094
Central-West;2019/2021;All_other_causes;Female;20;64;66;665716;663094
Central-West;2019/2021;Circulatory;Female;20;24;20;665716;663094
Central-West;2019/2021;Covid;Female;20;0;65;665716;663094
Central-West;2019/2021;External_causes;Female;20;167;151;665716;663094
Central-West;2019/2021;Infec_parasit;Female;20;17;14;665716;663094
Central-West;2019/2021;Neoplasms;Female;20;28;27;665716;663094
Central-West;2019/2021;Pregnancy;Female;20;27;51;665716;663094
Central-West;2019/2021;Respiratory;Female;20;15;15;665716;663094
Central-West;2019/2021;Undefined;Female;20;20;8;665716;663094
Central-West;2019/2021;All_causes;Female;25;422;683;666941;674982
Central-West;2019/2021;All_other_causes;Female;25;67;100;666941;674982
