IDADE;SEXO;ANO;SIGLA;LOCAL;nMx;nAx;nqx;lx;ndx;nLx;Sx;Tx;ex
65;Homens;2019;BR;Brasil;0,0233;2,60325;0,11034;74.814;8.255;354.286;0,87036;1.265.798;16,92
70;Homens;2019;BR;Brasil;0,033;2,59795;0,15287;66.559;10.175;308.356;0,81241;911.511;13,69
75;Homens;2019;BR;Brasil;0,05186;2,58223;0,23042;56.385;12.992;250.511;0,7196;603.155;10,7
80;Homens;2019;BR;Brasil;0,08225;2,52505;0,34169;43.393;14.827;180.268;0,5901;352.644;8,13
85;Homens;2019;BR;Brasil;0,13313;2,42596;0,49576;28.566;14.162;106.377;0,38288;172.376;6,03
90;Homens;2019;BR;Brasil;0,21825;4,58199;1;14.404;14.404;66.000; -   ;66.000;4,58
0;Mulheres;2020;BR;Brasil;0,01056;0,08137;0,01046;100.000;1.046;99.040;0,98897;7.851.627;78,52
1;Mulheres;2020;BR;Brasil;0,00038;1,50698;0,00151;98.954;149;395.446;0,99867;7.752.588;78,35
5;Mulheres;2020;BR;Brasil;0,00015;2,38085;0,00077;98.805;76;493.827;0,99913;7.357.142;74,46
10;Mulheres;2020;BR;Brasil;0,00022;2,72361;0,0011;98.729;108;493.399;0,99837;6.863.315;69,52
15;Mulheres;2020;BR;Brasil;0,00045;2,71443;0,00226;98.621;223;492.596;0,9973;6.369.916;64,59
20;Mulheres;2020;BR;Brasil;0,00062;2,59756;0,00308;98.398;303;491.263;0,99666;5.877.320;59,73
25;Mulheres;2020;BR;Brasil;0,00073;2,59648;0,00363;98.095;356;489.621;0,99579;5.386.057;54,91
30;Mulheres;2020;BR;Brasil;0,00099;2,63861;0,00492;97.740;481;487.561;0,99406;4.896.435;50,1
35;Mulheres;2020;BR;Brasil;0,00143;2,65236;0,00711;97.258;692;484.667;0,99138;4.408.874;45,33
40;Mulheres;2020;BR;Brasil;0,00208;2,65426;0,01035;96.567;1.000;480.488;0,9874;3.924.207;40,64
45;Mulheres;2020;BR;Brasil;0,00306;2,65252;0,01517;95.567;1.450;474.431;0,98162;3.443.719;36,03
50;Mulheres;2020;BR;Brasil;0,00446;2,6527;0,02207;94.117;2.077;465.710;0,97305;2.969.288;31,55
55;Mulheres;2020;BR;Brasil;0,00665;2,66338;0,03274;92.040;3.013;453.158;0,95886;2.503.578;27,2
60;Mulheres;2020;BR;Brasil;0,01044;2,65993;0,05097;89.027;4.538;434.514;0,93683;2.050.420;23,03
65;Mulheres;2020;BR;Brasil;0,0159;2,62456;0,07663;84.489;6.474;407.064;0,91035;1.615.906;19,13
70;Mulheres;2020;BR;Brasil;0,02226;2,6361;0,10575;78.014;8.250;370.569;0,86376;1.208.842;15,5
75;Mulheres;2020;BR;Brasil;0,03819;2,64893;0,17522;69.764;12.224;320.081;0,77451;838.274;12,02
80;Mulheres;2020;BR;Brasil;0,06667;2,5922;0,28723;57.540;16.527;247.907;0,64096;518.192;9,01
85;Mulheres;2020;BR;Brasil;0,11579;2,49077;0,44861;41.013;18.399;158.898;0,41211;270.285;6,59
