IDADE;SEXO;ANO;SIGLA;LOCAL;nMx;nAx;nqx;lx;ndx;nLx;Sx;Tx;ex
0;Mulheres;2019;BR;Brasil;0,01111;0,08299;0,011;100.000;1.100;98.991;0,98829;7.960.293;79,6
1;Mulheres;2019;BR;Brasil;0,00045;1,5061;0,00181;98.900;179;395.154;0,99838;7.861.301;79,49
5;Mulheres;2019;BR;Brasil;0,0002;2,35628;0,001;98.721;99;493.344;0,99898;7.466.148;75,63
10;Mulheres;2019;BR;Brasil;0,00024;2,66158;0,00118;98.622;116;492.840;0,99836;6.972.804;70,7
15;Mulheres;2019;BR;Brasil;0,00043;2,68032;0,00217;98.506;214;492.034;0,99748;6.479.964;65,78
20;Mulheres;2019;BR;Brasil;0,00056;2,58222;0,00281;98.292;276;490.792;0,99699;5.987.930;60,92
25;Mulheres;2019;BR;Brasil;0,00065;2,58852;0,00324;98.016;318;489.312;0,99627;5.497.138;56,08
30;Mulheres;2019;BR;Brasil;0,00087;2,63043;0,00433;97.698;423;487.489;0,99486;5.007.826;51,26
35;Mulheres;2019;BR;Brasil;0,00122;2,64884;0,0061;97.275;594;484.981;0,99258;4.520.337;46,47
40;Mulheres;2019;BR;Brasil;0,00179;2,65475;0,00893;96.682;863;481.384;0,98916;4.035.356;41,74
45;Mulheres;2019;BR;Brasil;0,00262;2,65484;0,01302;95.818;1.248;476.167;0,98412;3.553.972;37,09
50;Mulheres;2019;BR;Brasil;0,00387;2,65754;0,01918;94.571;1.814;468.606;0,97648;3.077.806;32,54
55;Mulheres;2019;BR;Brasil;0,0058;2,66434;0,02862;92.757;2.655;457.586;0,96421;2.609.200;28,13
60;Mulheres;2019;BR;Brasil;0,00903;2,66423;0,0442;90.103;3.983;441.210;0,94477;2.151.614;23,88
65;Mulheres;2019;BR;Brasil;0,01397;2,63701;0,0676;86.120;5.822;416.843;0,91986;1.710.403;19,86
70;Mulheres;2019;BR;Brasil;0,02004;2,65001;0,09567;80.298;7.682;383.437;0,87516;1.293.560;16,11
75;Mulheres;2019;BR;Brasil;0,03506;2,66186;0,16202;72.616;11.765;335.570;0,78969;910.124;12,53
80;Mulheres;2019;BR;Brasil;0,06187;2,60552;0,26943;60.851;16.395;264.995;0,66094;574.554;9,44
85;Mulheres;2019;BR;Brasil;0,10801;2,50871;0,42555;44.455;18.918;175.147;0,4342;309.558;6,96
90;Mulheres;2019;BR;Brasil;0,18999;5,26334;1;25.537;25.537;134.412; -   ;134.412;5,26
0;Homens;2019;BR;Brasil;0,01327;0,08018;0,01311;100.000;1.311;98.794;0,98605;7.283.564;72,84
1;Homens;2019;BR;Brasil;0,00056;1,61348;0,00224;98.689;221;394.229;0,99798;7.184.769;72,8
5;Homens;2019;BR;Brasil;0,00024;2,38623;0,00122;98.468;120;492.028;0,99872;6.790.540;68,96
10;Homens;2019;BR;Brasil;0,00033;2,89973;0,00167;98.348;164;491.397;0,99558;6.298.513;64,04
15;Homens;2019;BR;Brasil;0,00166;2,91451;0,00828;98.184;813;489.224;0,98916;5.807.116;59,15
20;Homens;2019;BR;Brasil;0,00249;2,5664;0,01237;97.371;1.204;483.922;0,9878;5.317.892;54,61
25;Homens;2019;BR;Brasil;0,00234;2,4913;0,01165;96.166;1.121;478.020;0,9882;4.833.970;50,27
30;Homens;2019;BR;Brasil;0,00244;2,53292;0,01214;95.046;1.154;472.381;0,98708;4.355.950;45,83
35;Homens;2019;BR;Brasil;0,00281;2,57499;0,01397;93.892;1.312;466.277;0,98429;3.883.568;41,36
40;Homens;2019;BR;Brasil;0,0036;2,61124;0,01786;92.580;1.653;458.950;0,97909;3.417.292;36,91
45;Homens;2019;BR;Brasil;0,00497;2,63888;0,02458;90.927;2.235;449.355;0,97002;2.958.342;32,54
50;Homens;2019;BR;Brasil;0,00737;2,64353;0,03624;88.691;3.214;435.883;0,95642;2.508.987;28,29
55;Homens;2019;BR;Brasil;0,01067;2,63819;0,05202;85.477;4.446;416.886;0,93651;2.073.104;24,25
60;Homens;2019;BR;Brasil;0,01592;2,62964;0,07672;81.031;6.217;390.420;0,90745;1.656.217;20,44
