Region;Period;Cause_death;Sex;Age.Group;obitos_corrigidos1;obitos_corrigidos2;Pop_ajustada;Pop_ajustada;nmx_cause_ajustado.1;nmx_cause_ajustado.2
AR;2019/2020;All_other_causes;Female;15;116,4000153;105,3653475;1773429,468;1773868,537;6,56355E-05;5,93986E-05
AR;2019/2020;All_causes;Female;15;666,3098109;603,587769;1773429,468;1773868,537;0,000375718;0,000340266
AR;2019/2020;Infec_parasit;Female;20;48,26519337;46,37772871;1758932,708;1762572,601;2,744E-05;2,63125E-05
AR;2019/2020;Covid;Female;20;0;33,32721209;1758932,708;1762572,601;0;1,89083E-05
AR;2019/2020;Neoplasms;Female;20;109,512827;99,45928176;1758932,708;1762572,601;6,2261E-05;5,64285E-05
AR;2019/2020;Circulatory;Female;20;59,3104234;63,34213385;1758932,708;1762572,601;3,37196E-05;3,59373E-05
AR;2019/2020;Respiratory;Female;20;70,36887174;64,44820613;1758932,708;1762572,601;4,00066E-05;3,65649E-05
AR;2019/2020;Pregnancy;Female;20;43;32;1758932,708;1762572,601;2,44466E-05;1,81553E-05
AR;2019/2020;External_causes;Female;20;309,8642918;261,2395915;1758932,708;1762572,601;0,000176166;0,000148215
AR;2019/2020;Undefined ;Female;20;36,1255887;39,14528286;1758932,708;1762572,601;2,05384E-05;2,22092E-05
AR;2019/2020;All_other_causes;Female;20;136,5914722;133,2529074;1758932,708;1762572,601;7,76559E-05;7,56014E-05
AR;2019/2020;All_causes;Female;20;813,0386682;772,5923443;1758932,708;1762572,601;0,000462234;0,000438332
AR;2019/2020;Infec_parasit;Female;25;64,35359116;65,50758276;1743326,386;1749810,444;3,69143E-05;3,7437E-05
AR;2019/2020;Covid;Female;25;0;73,72383281;1743326,386;1749810,444;0;4,21325E-05
AR;2019/2020;Neoplasms;Female;25;192,9033284;209,9695948;1743326,386;1749810,444;0,000110652;0,000119996
AR;2019/2020;Circulatory;Female;25;91,47878863;80,43445568;1743326,386;1749810,444;5,24737E-05;4,59675E-05
AR;2019/2020;Respiratory;Female;25;101,5322292;73,51123511;1743326,386;1749810,444;5,82405E-05;4,2011E-05
AR;2019/2020;Pregnancy;Female;25;47;59;1743326,386;1749810,444;2,696E-05;3,37179E-05
AR;2019/2020;External_causes;Female;25;295,7336726;232,7776905;1743326,386;1749810,444;0,000169638;0,00013303
AR;2019/2020;Undefined ;Female;25;39,13605442;69,2570389;1743326,386;1749810,444;2,24491E-05;3,95797E-05
AR;2019/2020;All_other_causes;Female;25;172,8545089;156,8878786;1743326,386;1749810,444;9,91521E-05;8,96599E-05
AR;2019/2020;All_causes;Female;25;1004,992173;1021,069309;1743326,386;1749810,444;0,00057648;0,000583531
AR;2019/2020;Infec_parasit;Female;30;81,44751381;75,56804149;1711053,699;1716958,068;4,76008E-05;4,40127E-05
AR;2019/2020;Covid;Female;30;0;103,0113828;1711053,699;1716958,068;0;5,99964E-05
AR;2019/2020;Neoplasms;Female;30;405,9007534;378,748982;1711053,699;1716958,068;0,000237223;0,000220593
AR;2019/2020;Circulatory;Female;30;121,636631;116,6299607;1711053,699;1716958,068;7,10887E-05;6,79283E-05
AR;2019/2020;Respiratory;Female;30;108,5691164;99,69331885;1711053,699;1716958,068;6,34516E-05;5,80639E-05
AR;2019/2020;Pregnancy;Female;30;51;53;1711053,699;1716958,068;2,98062E-05;3,08685E-05
AR;2019/2020;External_causes;Female;30;255,360475;195,1673213;1711053,699;1716958,068;0,000149242;0,00011367
AR;2019/2020;Undefined ;Female;30;61,21280307;54,20116088;1711053,699;1716958,068;3,57749E-05;3,15681E-05
AR;2019/2020;All_other_causes;Female;30;175,1328926;173,4065136;1711053,699;1716958,068;0,000102354;0,000100996
AR;2019/2020;All_causes;Female;30;1260,260185;1249,426682;1711053,699;1716958,068;0,00073654;0,000727698
AR;2019/2020;Infec_parasit;Female;35;105,5801105;121,9308869;1587797,969;1597030,854;6,64947E-05;7,63485E-05
AR;2019/2020;Covid;Female;35;0;151,4873277;1587797,969;1597030,854;0;9,48556E-05
AR;2019/2020;Neoplasms;Female;35;708,3169088;636,9412589;1587797,969;1597030,854;0,0004461;0,000398828
AR;2019/2020;Circulatory;Female;35;196,0259756;208,1241541;1587797,969;1597030,854;0,000123458;0,000130319
AR;2019/2020;Respiratory;Female;35;135,7113955;130,9104187;1587797,969;1597030,854;8,54715E-05;8,19711E-05
AR;2019/2020;Pregnancy;Female;35;47;67;1587797,969;1597030,854;2,96007E-05;4,19529E-05
AR;2019/2020;External_causes;Female;35;214,9872774;196,1838178;1587797,969;1597030,854;0,0001354;0,000122843
AR;2019/2020;Undefined ;Female;35;78,27210884;76,28311531;1587797,969;1597030,854;4,9296E-05;4,77656E-05
AR;2019/2020;All_other_causes;Female;35;229,6278632;207,8186129;1587797,969;1597030,854;0,00014462;0,000130128
AR;2019/2020;All_causes;Female;35;1715,52164;1796,679592;1587797,969;1597030,854;0,001080441;0,001125012
AR;2019/2020;Infec_parasit;Female;40;134,7403315;138,9307739;1576463,34;1594121,693;8,547E-05;8,71519E-05
